Population,Treatment,Sire,Dame,Bolting time (days),DW (g),Total glucosinolates (µmol/g DW),Trypsin-PI (%),Trichomes
Desert,Methyl jasmonate,14,140,24,,27.01,73.50277457,4
,,,,,,,,
Desert,Methyl jasmonate,14,140,24,3.46,23.62,43.81234118,4
,,,,,,,,
Desert,Methyl jasmonate,14,140,26,4.46,12.38,56.99047895,3
,,,,,,,,
Desert,Methyl jasmonate,14,141,31,4.72,17.56,71.74512882,2
,,,,,,,,
Desert,Methyl jasmonate,14,141,24,,28.8,65.59806169,3
,,,,,,,,
Desert,Methyl jasmonate,14,141,24,3.94,22.34,80.71508989,3
,,,,,,,,
Desert,Methyl jasmonate,14,142,29,5.37,20.09,54.07417951,4
,,,,,,,,
Desert,Methyl jasmonate,14,142,24,3.98,21.61,48.98472049,3
,,,,,,,,
Desert,Methyl jasmonate,14,142,26,4.65,25.18,51.19381797,4
,,,,,,,,
Desert,Methyl jasmonate,15,143,,6.62,11.76,66.56537278,5
,,,,,,,,
Desert,Methyl jasmonate,15,143,,3.65,11.89,66.61780102,4
,,,,,,,,
Desert,Methyl jasmonate,15,143,,6.56,15.37,64.2641129,4
,,,,,,,,
Desert,Methyl jasmonate,15,144,31,6.76,18.83,79.50802139,
,,,,,,,,
Desert,Methyl jasmonate,15,144,31,3.8,11.81,68.80014443,
,,,,,,,,
Desert,Methyl jasmonate,15,144,33,7.93,13.34,94.76706014,
,,,,,,,,
Desert,Methyl jasmonate,15,145,,,,,
,,,,,,,,
Desert,Methyl jasmonate,15,145,,,,,
,,,,,,,,
Desert,Methyl jasmonate,15,145,,,,,
,,,,,,,,
Desert,Methyl jasmonate,16,146,24,5.31,21.81,58.13553609,5
,,,,,,,,
Desert,Methyl jasmonate,16,146,24,6.23,16.92,47.07233137,4
,,,,,,,,
Desert,Methyl jasmonate,16,146,29,4.92,18.25,66.08193253,5
,,,,,,,,
Desert,Methyl jasmonate,16,147,,2.87,15.8,57.83209162,
,,,,,,,,
Desert,Methyl jasmonate,16,147,24,3.12,13.43,55.70539553,5
